t,phase,tag_visible,uav_x_gt,uav_y_gt,uav_z_gt,uav_vx_gt,uav_vy_gt,uav_vz_gt,uav_roll_gt,uav_pitch_gt,uav_yaw_gt,vehicle_x_gt,vehicle_y_gt,vehicle_z_gt,vehicle_vx_gt,vehicle_vy_gt,vehicle_vz_gt,vehicle_speed_gt,vehicle_yaw_gt,horizontal_error_gt,uav_x_mavros,uav_y_mavros,uav_z_mavros,uav_vx_mavros,uav_vy_mavros,uav_vz_mavros,tag_x_map_visual,tag_y_map_visual,tag_error_visual,yolo_detected,yolo_confidence,yolo_center_x,yolo_center_y,armed,flight_mode
1.164,WAIT_FCU,False,-12.999999999949715,-6.000000000004749,0.05399996221987916,-2.1775699026165836e-11,-2.3152528428846514e-09,2.7158858000531083e-08,8.452397416723911e-11,8.50291277081759e-10,5.637004568597219e-14,10.000000002974437,7.879190017739902e-08,0.04992755344959976,-3.921808470731166e-09,4.793127965710409e-09,-0.01811021328577018,6.193113706107286e-09,-2.0482805677934717e-08,23.769728670728888,,,,,,,,,,False,,,,False,
1.264,WAIT_FCU,False,-12.999999999949493,-5.999999999995443,0.05399996221987914,-2.1771699917802396e-11,2.3152529178083953e-09,2.7158848723063402e-08,-8.452561507400467e-11,8.50291422511464e-10,4.759410551680749e-14,10.000000003404917,7.905908775938047e-08,0.04999999379560971,5.1840651560875914e-09,1.3726584018741717e-09,0.004999403227942113,5.3627159752123015e-09,-2.331038844589974e-08,23.769728671210302,,,,,,,,,,False,,,,False,
1.3639999999999999,WAIT_FCU,False,-12.99999999994927,-6.000000000004749,0.05399996221987916,-2.1775699199505298e-11,-2.31525283944655e-09,2.715885799359219e-08,8.45239737577664e-11,8.502912770415827e-10,5.636600206565891e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671472784,,,,,,,,,,False,,,,False,
1.464,WAIT_FCU,False,-12.999999999949049,-5.999999999995443,0.05399996221987914,-2.1771696386681755e-11,2.315252919426642e-09,2.7158848730168827e-08,-8.452561505872361e-11,8.502914227289765e-10,4.759006190030868e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.76972867147022,,,,,,,,,,False,,,,False,CMODE(65536)
1.564,WAIT_FCU,False,-12.999999999948827,-6.000000000004749,0.05399996221987916,-2.1775700795081718e-11,-2.315252839037452e-09,2.7158858000697617e-08,8.452397403467023e-11,8.50291277273433e-10,5.636195844478548e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671472354,,,,,,,,,,False,,,,False,CMODE(65536)
1.6640000000000001,WAIT_FCU,False,-12.999999999948605,-5.999999999995443,0.05399996221987914,-2.177169621261268e-11,2.3152529187532056e-09,2.7158848723063402e-08,-8.45256150504329e-11,8.502914227003017e-10,4.7586018295026853e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.76972867146979,,,,,,,,,,False,,,,False,CMODE(65536)
1.764,WAIT_FCU,False,-12.999999999948383,-6.000000000004749,0.05399996221987916,-2.177570021362219e-11,-2.3152528390679826e-09,2.7158858000531083e-08,8.452397385333885e-11,8.502912771334424e-10,5.6357914840108625e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671471924,,,,,,,,,,False,,,,False,CMODE(65536)
1.8639999999999999,WAIT_FCU,False,-12.99999999994816,-5.999999999995443,0.05399996221987914,-2.1771698121955726e-11,2.3152529154048115e-09,2.715884874421315e-08,-8.452561503874115e-11,8.502914226995305e-10,4.758197471763655e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671469363,,,,,,,,,,False,,,,False,CMODE(65536)
1.964,WAIT_FCU,False,-12.99999999994793,-5.999999999995443,0.05399996221987914,-2.1771697657704912e-11,2.315252919969974e-09,2.7158848730168827e-08,-8.452561494749684e-11,8.502914225152507e-10,4.7579872043357596e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.76972867146914,,,,,,,,,,False,,,,False,CMODE(65536)
2.064,WAIT_FCU,False,-12.999999999947716,-5.999999999995443,0.05399996221987914,-2.1771696540025964e-11,2.315252919242801e-09,2.7158848730168827e-08,-8.452561519064188e-11,8.502914226093901e-10,4.7577931121318834e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671468933,,,,,,,,,,False,,,,False,CMODE(65536)
2.164,WAIT_FCU,False,-12.999999999947486,-5.999999999995443,0.05399996221987914,-2.1771697962339637e-11,2.315252915210386e-09,2.715884874421315e-08,-8.452561503796784e-11,8.502914228165942e-10,4.757582844428404e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.76972867146871,,,,,,,,,,False,,,,False,CMODE(65536)
2.2640000000000002,WAIT_FCU,False,-12.999999999947264,-6.000000000004749,0.05399996221987916,-2.1775699320861618e-11,-2.3152528390702363e-09,2.7158857993425657e-08,8.452397406224618e-11,8.502912771450034e-10,5.634772498461636e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671470848,,,,,,,,,,False,,,,False,CMODE(65536)
2.364,WAIT_FCU,False,-12.99999999994705,-6.000000000004749,0.05399996221987916,-2.1775701988427858e-11,-2.315252839288411e-09,2.7158858000531083e-08,8.452397411359532e-11,8.502912770726956e-10,5.634578405957579e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671470638,,,,,,,,,,False,,,,False,CMODE(65536)
2.464,WAIT_FCU,False,-12.999999999946828,-5.999999999995443,0.05399996221987914,-2.1771697470314656e-11,2.315252917844176e-09,2.7158848730168827e-08,-8.452561503876004e-11,8.502914225999793e-10,4.7569843923644805e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671468073,,,,,,,,,,False,,,,False,MANUAL
2.564,WAIT_FCU,False,-12.999999999946597,-5.999999999995443,0.05399996221987914,-2.177169650916974e-11,2.315252921304497e-09,2.7158848730168827e-08,-8.45256152004519e-11,8.502914225985438e-10,4.756774124734069e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.76972867146785,,,,,,,,,,False,,,,False,MANUAL
2.664,WAIT_FCU,False,-12.999999999946384,-5.999999999995443,0.05399996221987914,-2.1771696427004435e-11,2.3152529194339347e-09,2.7158848730168827e-08,-8.452561510746926e-11,8.502914226925849e-10,4.756580032131289e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671467643,,,,,,,,,,False,,,,False,MANUAL
2.7640000000000002,WAIT_FCU,False,-12.999999999946162,-6.000000000004749,0.05399996221987916,-2.1775700383562655e-11,-2.315252838573974e-09,2.715885800036455e-08,8.452397419063923e-11,8.502912770794636e-10,5.633769688666361e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671469778,,,,,,,,,,False,,,,False,MANUAL
2.864,WAIT_FCU,False,-12.99999999994594,-5.999999999995443,0.05399996221987914,-2.1771696952517665e-11,2.315252918585664e-09,2.7158848723063402e-08,-8.452561495666516e-11,8.5029142253482e-10,4.7561756746164636e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671467213,,,,,,,,,,False,,,,False,MANUAL
2.964,WAIT_FCU,False,-12.99999999994571,-5.999999999995443,0.05399996221987914,-2.1771700068667027e-11,2.3152529156261295e-09,2.7158848723063402e-08,-8.452561496976042e-11,8.502914226285764e-10,4.75596540834506e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671466986,,,,,,,,,,False,,,,False,MANUAL
3.064,WAIT_FCU,False,-12.999999999945496,-5.999999999995443,0.05399996221987914,-2.1771697153855875e-11,2.315252919538736e-09,2.7158848730168827e-08,-8.45256152081258e-11,8.502914226409827e-10,4.755771314979009e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.76972867146678,,,,,,,,,,False,,,,False,MANUAL
3.164,WAIT_FCU,False,-12.999999999945274,-6.000000000004749,0.05399996221987916,-2.1775701826119758e-11,-2.315252838451792e-09,2.7158858000697617e-08,8.452397391283528e-11,8.502912773121327e-10,5.6329609687821164e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.76972867146892,,,,,,,,,,False,,,,False,MANUAL
3.2640000000000002,WAIT_FCU,False,-12.999999999945052,-5.999999999995443,0.05399996221987914,-2.1771696240834087e-11,2.31525291944316e-09,2.7158848723063402e-08,-8.452561522733911e-11,8.502914227055458e-10,4.7553669540714735e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671466353,,,,,,,,,,False,,,,False,MANUAL
3.364,WAIT_FCU,False,-12.99999999994483,-6.000000000004749,0.05399996221987916,-2.1775697993068843e-11,-2.3152528355965545e-09,2.715885801440887e-08,8.452397386761435e-11,8.502912770874504e-10,5.632556608286103e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671468485,,,,,,,,,,False,,,,False,MANUAL
3.464,WAIT_FCU,False,-12.999999999944608,-5.999999999995443,0.05399996221987914,-2.1771698883623276e-11,2.3152529202384493e-09,2.7158848730168827e-08,-8.452561508924405e-11,8.50291422214056e-10,4.7549625943018274e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671465923,,,,,,,,,,False,,,,False,MANUAL
3.564,WAIT_FCU,False,-12.999999999944386,-6.000000000004749,0.05399996221987916,-2.177570095628805e-11,-2.315252838691233e-09,2.7158858000697617e-08,8.452397395161144e-11,8.502912772392189e-10,5.632152249601031e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671468055,,,,,,,,,,False,,,,False,MANUAL
3.664,WAIT_FCU,False,-12.999999999944164,-5.999999999995443,0.05399996221987914,-2.1771698348560618e-11,2.3152529202441585e-09,2.7158848730168827e-08,-8.452561506212028e-11,8.502914226082389e-10,4.754558232982076e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671465497,,,,,,,,,,False,,,,False,MANUAL
3.7640000000000002,WAIT_FCU,False,-12.999999999943942,-6.000000000004749,0.05399996221987916,-2.1775700261008245e-11,-2.3152528386725357e-09,2.7158858000531083e-08,8.452397386518187e-11,8.502912770336394e-10,5.631747887421822e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671467625,,,,,,,,,,False,,,,False,MANUAL
3.864,WAIT_FCU,False,-12.99999999994372,-5.999999999995443,0.05399996221987914,-2.177169805736085e-11,2.3152529168808794e-09,2.7158848730168827e-08,-8.452561498099149e-11,8.50291422581823e-10,4.754153872803335e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671465064,,,,,,,,,,False,,,,False,MANUAL
3.964,WAIT_FCU,False,-12.999999999943498,-6.000000000004749,0.05399996221987916,-2.177569973475193e-11,-2.3152528388556416e-09,2.7158858000697617e-08,8.452397403312625e-11,8.502912774084915e-10,5.6313435262044985e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.7697286714672,,,,,,,,,,False,,,,False,MANUAL
4.064,WAIT_FCU,False,-12.999999999943276,-5.999999999995443,0.05399996221987914,-2.1771696132214222e-11,2.3152529194945323e-09,2.7158848730168827e-08,-8.452561513240915e-11,8.502914225288136e-10,4.7537495119190264e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671464634,,,,,,,,,,False,,,,False,MANUAL
4.164,WAIT_FCU,False,-12.999999999943054,-6.000000000004749,0.05399996221987916,-2.177569781638625e-11,-2.315252837459171e-09,2.715885801424234e-08,8.452397405239945e-11,8.502912769858309e-10,5.6309391660294215e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.76972867146677,,,,,,,,,,False,,,,False,MANUAL
4.264,WAIT_FCU,False,-12.999999999942832,-5.999999999995443,0.05399996221987914,-2.177169795274279e-11,2.315252917468527e-09,2.7158848730168827e-08,-8.452561492717292e-11,8.502914226547133e-10,4.753345150588664e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671464208,,,,,,,,,,False,,,,False,MANUAL
4.364,WAIT_FCU,False,-12.99999999994261,-6.000000000004749,0.05399996221987916,-2.177569974210041e-11,-2.315252839430674e-09,2.715885799359219e-08,8.452397409711288e-11,8.502912771363982e-10,5.630534803786993e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671466343,,,,,,,,,,False,,,,False,MANUAL
4.464,WAIT_FCU,False,-12.999999999942387,-5.999999999995443,0.05399996221987914,-2.1771696025873543e-11,2.315252920234563e-09,2.7158848730168827e-08,-8.452561510503613e-11,8.502914225120578e-10,4.75294078724705e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671463778,,,,,,,,,,False,,,,False,MANUAL
