t,phase,tag_visible,uav_x_gt,uav_y_gt,uav_z_gt,uav_vx_gt,uav_vy_gt,uav_vz_gt,uav_roll_gt,uav_pitch_gt,uav_yaw_gt,vehicle_x_gt,vehicle_y_gt,vehicle_z_gt,vehicle_vx_gt,vehicle_vy_gt,vehicle_vz_gt,vehicle_speed_gt,vehicle_yaw_gt,horizontal_error_gt,uav_x_mavros,uav_y_mavros,uav_z_mavros,uav_vx_mavros,uav_vy_mavros,uav_vz_mavros,tag_x_map_visual,tag_y_map_visual,tag_error_visual,yolo_detected,yolo_confidence,yolo_center_x,yolo_center_y,armed,flight_mode
0.188,WAIT_FCU,True,-12.99999999979786,-5.999999999992101,0.05365256317358427,3.3315592681709733e-09,2.214374728041077e-09,0.009997325879639241,-1.4515808840090903e-10,3.649202769292322e-09,5.006016898053176e-14,,,,,,,,,,,,,,,,,,,False,,,,False,
0.252,WAIT_FCU,True,-12.999999999951244,-5.999999999995438,0.053998366576005576,-7.901157172462672e-11,2.288478029415226e-09,0.00015958184766960858,-8.457701660880002e-11,8.59003477404988e-10,4.727616852137518e-14,,,,,,,,,,,,,,,,,,,False,,,,False,
0.352,WAIT_FCU,True,-12.999999999951491,-6.000000000004747,0.0539999618651757,-2.1748243022505506e-11,-2.3147953835693964e-09,6.263243452531153e-08,8.449513822750153e-11,8.502847184618461e-10,5.639416875392389e-14,10.000000000011608,7.674589709622166e-08,0.04992755432651541,-3.921173327979166e-09,4.8127997108460274e-09,-0.018110242307412306,6.20794984876447e-09,-2.1988509663218275e-10,23.769728667347266,,,,,,,,,,False,,,,False,
0.452,WAIT_FCU,True,-12.99999999995127,-5.999999999995443,0.05399996221980124,-2.1771728152310397e-11,2.3152450187053267e-09,2.7166743158169028e-08,-8.452562385816432e-11,8.502912884891831e-10,4.7610159879155504e-14,10.000000000442094,7.701308412240774e-08,0.0499999937956096,5.184064953319414e-09,1.3726580974302016e-09,0.004999403227941851,5.362715701272567e-09,-3.047458516737228e-09,23.76972866782869,,,,,,,,,,False,,,,False,
0.552,WAIT_FCU,True,-12.999999999951047,-6.000000000004749,0.05399996221987916,-2.177569115109089e-11,-2.3152526739014556e-09,2.7158859957299164e-08,8.452396357810365e-11,8.502912751925395e-10,5.63821793139946e-14,10.000000000797634,7.725860941395956e-08,0.04999999628703666,-1.285918876276094e-13,1.2151295842488297e-12,6.321573646319464e-07,1.2219148006634365e-12,-5.4790097658693074e-09,23.769728668236827,,,,,,,,,,False,,,,False,
0.652,WAIT_FCU,False,-12.999999999950825,-5.999999999995443,0.05399996221987914,-2.1771700384678556e-11,2.3152529145053734e-09,2.7158848757924403e-08,-8.45256153621284e-11,8.502914227933136e-10,4.760623629682376e-14,10.000000001153168,7.750412230718871e-08,0.04999999651757947,1.9973200333728314e-13,-1.8863190929935902e-12,6.636452019149788e-08,1.8968638838222644e-12,-7.910562089092047e-09,23.769728668640255,,,,,,,,,,False,,,,False,
0.752,WAIT_FCU,False,-12.999999999950603,-6.000000000004749,0.05399996221987916,-2.177570177341808e-11,-2.315252839597693e-09,2.7158858000531083e-08,8.452397390640291e-11,8.502912770400947e-10,5.637813288931399e-14,10.00000000149302,7.776889834662363e-08,0.04992755344959976,-3.921808156468739e-09,4.793127958771515e-09,-0.018110213285770362,6.193113501729314e-09,-1.0351340804067471e-08,23.769728669038074,,,,,,,,,,False,,,,False,
0.852,WAIT_FCU,False,-12.999999999950372,-6.000000000004749,0.05399996221987916,-2.1775699476805866e-11,-2.3152528417164458e-09,2.7158858000531083e-08,8.452397416249249e-11,8.502912768767908e-10,5.6376030230789895e-14,10.000000001923507,7.803609077975446e-08,0.04999999628703666,-1.285918814965467e-13,1.2151300103064021e-12,6.321573646250076e-07,1.221915223709918e-12,-1.3178923259048886e-08,23.769728669521843,,,,,,,,,,False,,,,False,
0.952,WAIT_FCU,False,-12.999999999950159,-6.000000000004749,0.05399996221987916,-2.1775696371326274e-11,-2.3152528372018325e-09,2.7158858014575405e-08,8.452397400443003e-11,8.502912771524521e-10,5.637408930168368e-14,10.000000002279041,7.828161121779735e-08,0.04999999628703666,-1.2859190122645868e-13,1.2151300321175005e-12,6.32157364624841e-07,1.2219152474762368e-12,-1.5610474838576876e-08,23.769728669927627,,,,,,,,,,False,,,,False,
1.052,WAIT_FCU,False,-12.999999999949937,-5.999999999995443,0.05399996221987914,-2.1771698696996192e-11,2.3152529178018403e-09,2.7158848723229933e-08,-8.452561493299648e-11,8.502914226904951e-10,4.759814915433709e-14,10.000000002634579,7.852712412448936e-08,0.04999999651757936,1.9973200896636354e-13,-1.8863190736177116e-12,6.636452019149788e-08,1.8968638651468167e-12,-1.8042027062004988e-08,23.769728670331062,,,,,,,,,,False,,,,False,
