t,phase,tag_visible,uav_x_gt,uav_y_gt,uav_z_gt,uav_vx_gt,uav_vy_gt,uav_vz_gt,uav_roll_gt,uav_pitch_gt,uav_yaw_gt,vehicle_x_gt,vehicle_y_gt,vehicle_z_gt,vehicle_vx_gt,vehicle_vy_gt,vehicle_vz_gt,vehicle_speed_gt,vehicle_yaw_gt,horizontal_error_gt,uav_x_mavros,uav_y_mavros,uav_z_mavros,uav_vx_mavros,uav_vy_mavros,uav_vz_mavros,tag_x_map_visual,tag_y_map_visual,tag_error_visual,yolo_detected,yolo_confidence,yolo_center_x,yolo_center_y,armed,flight_mode
0.072,WAIT_FCU,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,
0.152,WAIT_FCU,True,,,,,,,,,,9.999999999986155,7.671426041774235e-08,0.04994630307023895,-2.9862277247303205e-09,1.7404756195299464e-08,-0.013145500898291734,1.765907965443735e-08,6.880766507648712e-12,,,,,,,,,,,False,,,,False,
0.252,WAIT_FCU,True,,,,,,,,,,10.000000000382837,7.69721689188018e-08,0.04999999628703666,-1.2859190495208016e-13,1.2151302334995837e-12,6.321573646177355e-07,1.2219154481321356e-12,-2.642199471012088e-09,,,,,,,,,,,False,,,,False,
0.352,WAIT_FCU,True,-12.999999998392381,-6.000000001025567,0.015426390534631195,5.0450897085297015e-09,-3.223674670743618e-09,0.009996662652136834,1.8630121733629874e-08,2.9223024868800285e-08,6.790674124247104e-13,10.000000000738378,7.7217681808392e-08,0.04999999651757947,1.9973200160691178e-13,-1.886319096752299e-12,6.636452019149788e-08,1.8968638873778772e-12,-5.073751822166954e-09,23.769728666918645,,,,,,,,,,False,,,,False,
0.452,WAIT_FCU,True,-12.99999999994854,-6.000000000004648,0.05399138121226612,-3.8568742792204994e-10,-2.2552456643810154e-09,0.0008580746043486934,8.269501528145661e-11,9.092400908554775e-10,5.7420245091481e-14,10.000000001078226,7.748245784404705e-08,0.04992755344959976,-3.921808068703207e-09,4.793127953567344e-09,-0.018110213285770414,6.19311344212378e-09,-7.51453056486569e-09,23.769728668562383,,,,,,,,,,False,,,,False,
0.552,WAIT_FCU,True,-12.999999999951536,-5.9999999999954445,0.053999960312065345,-2.1851265313064307e-11,2.314818806145079e-09,2.1793618755855392e-07,-8.448779196171139e-11,8.502917091358365e-10,4.7606747458997926e-14,10.000000001508708,7.77496454058639e-08,0.0499999937956096,5.184065026146558e-09,1.372658218860845e-09,0.004999403227942055,5.362715802755367e-09,-1.0342113482847837e-08,23.769728669046945,,,,,,,,,,False,,,,False,
0.652,WAIT_FCU,False,-12.999999999951314,-6.000000000004749,0.05399996221945453,-2.1776319484714998e-11,-2.3152382677077406e-09,2.7201461462789124e-08,8.452379897287204e-11,8.502912860382367e-10,5.6384960788367866e-14,10.000000001864251,7.799517070703299e-08,0.04999999628703666,-1.2859188653407664e-13,1.2151302423934297e-12,6.321573646319465e-07,1.2219154550383213e-12,-1.2773664660134244e-08,23.769728669455084,,,,,,,,,,False,,,,False,
0.752,WAIT_FCU,False,-12.999999999951092,-5.999999999995443,0.053999962219879044,-2.177172275458871e-11,2.3152527790816246e-09,2.7158861421239246e-08,-8.452560151785059e-11,8.502914228161528e-10,4.760866051117589e-14,10.000000002219787,7.824068360997754e-08,0.04999999651757947,1.9973200747410386e-13,-1.8863190797851702e-12,6.636452019843677e-08,1.8968638711228614e-12,-1.520521691150693e-08,23.769728669858516,,,,,,,,,,False,,,,False,
0.852,WAIT_FCU,False,-12.99999999995087,-6.000000000004749,0.05399996221987916,-2.17757006710981e-11,-2.3152528351286383e-09,2.7158858035392087e-08,8.452397399470318e-11,8.50291277430522e-10,5.6380559163730734e-14,10.000000002559634,7.850545965915572e-08,0.04992755344959976,-3.921808383177729e-09,4.793127963975685e-09,-0.018110213285770234,6.193113649321222e-09,-1.7645995555167668e-08,23.769728670256328,,,,,,,,,,False,,,,False,
0.952,WAIT_FCU,False,-12.999999999950647,-5.999999999995443,0.05399996221987914,-2.1771697040438356e-11,2.3152529193301272e-09,2.7158848737274256e-08,-8.45256150371386e-11,8.502914227009265e-10,4.760461890025291e-14,10.000000002990124,7.877264723660006e-08,0.04999999379560949,5.184065127632235e-09,1.3726583602408082e-09,0.00499940322794175,5.362715937048279e-09,-2.047357835596142e-08,23.769728670737756,,,,,,,,,,False,,,,False,
