t,phase,tag_visible,uav_x_gt,uav_y_gt,uav_z_gt,uav_vx_gt,uav_vy_gt,uav_vz_gt,uav_roll_gt,uav_pitch_gt,uav_yaw_gt,vehicle_x_gt,vehicle_y_gt,vehicle_z_gt,vehicle_vx_gt,vehicle_vy_gt,vehicle_vz_gt,vehicle_speed_gt,vehicle_yaw_gt,horizontal_error_gt,uav_x_mavros,uav_y_mavros,uav_z_mavros,uav_vx_mavros,uav_vy_mavros,uav_vz_mavros,tag_x_map_visual,tag_y_map_visual,tag_error_visual,yolo_detected,yolo_confidence,yolo_center_x,yolo_center_y,armed,flight_mode
0.096,WAIT_FCU,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,
0.152,WAIT_FCU,True,-12.999999998076058,-6.000000000103772,0.039940163804208985,3.313369078550242e-09,-1.381981017550843e-09,0.009997333450644685,1.8826172535447227e-09,3.4962551825500496e-08,1.6713400147568683e-13,,,,,,,,,,,,,,,,,,,False,,,,False,
0.252,WAIT_FCU,True,-12.999999999950706,-5.999999999995474,0.05399683486622452,-1.4295183230295325e-10,2.277109398178063e-09,0.00031274336494448136,-8.394265946919875e-11,8.691891733468315e-10,4.717824292856756e-14,,,,,,,,,,,,,,,,,,,False,,,,False,
0.352,WAIT_FCU,True,-12.999999999951509,-6.000000000004746,0.05399996152462717,-2.1761491491065777e-11,-2.3145515643511197e-09,9.668753837338561e-08,8.449213752850938e-11,8.50285065891197e-10,5.6400302136090005e-14,10.000000000027248,7.672698336552804e-08,0.049999991681922595,3.825621133097166e-09,1.1909978012494826e-09,0.004998832011037343,4.006725947276748e-09,-2.1062211997025505e-10,23.769728667357636,,,,,,,,,,False,,,,False,
0.452,WAIT_FCU,True,-12.999999999951287,-5.999999999995443,0.05399996221972537,-2.1772092218442433e-11,2.315242677929539e-09,2.717437400567846e-08,-8.452539946946874e-11,8.502912863695364e-10,4.761028934404731e-14,10.000000000382837,7.697216138425901e-08,0.04999999651757947,1.9973200029340066e-13,-1.8863191018609664e-12,6.636452019166441e-08,1.896863892319838e-12,-2.642200138861667e-09,23.76972866776104,,,,,,,,,,False,,,,False,
0.552,WAIT_FCU,True,-12.999999999951065,-6.000000000004749,0.05399996221987914,-2.1775694974838708e-11,-2.315252593454531e-09,2.7158862587139953e-08,8.452396296610639e-11,8.502912752659869e-10,5.638234310486859e-14,10.000000000722691,7.723693741678884e-08,0.04992755344959976,-3.921807992750009e-09,4.793127953567344e-09,-0.01811021328577047,6.1931133940261845e-09,-5.082978905321839e-09,23.769728668158862,,,,,,,,,,False,,,,False,
0.652,WAIT_FCU,False,-12.999999999950834,-6.000000000004749,0.05399996221987916,-2.177570089637909e-11,-2.315252836295174e-09,2.7158858028453193e-08,8.45239735476498e-11,8.502912773252232e-10,5.63802356299309e-14,10.000000001153168,7.750412984173147e-08,0.04999999628703666,-1.2859188916616535e-13,1.2151300185649734e-12,6.321573646319465e-07,1.2219152327297651e-12,-7.910561421242471e-09,23.769728668642614,,,,,,,,,,False,,,,False,
0.752,WAIT_FCU,False,-12.99999999995062,-6.000000000004749,0.05399996221987916,-2.177570184539887e-11,-2.3152528396993567e-09,2.7158858000531083e-08,8.45239738177618e-11,8.502912772514548e-10,5.637829463282967e-14,10.000000001508708,7.774965027273895e-08,0.04999999628703666,-1.285919003082882e-13,1.2151298078655277e-12,6.32157364624841e-07,1.2219150243728944e-12,-1.034211305266869e-08,23.76972866904841,,,,,,,,,,False,,,,False,
0.852,WAIT_FCU,False,-12.99999999995039,-6.000000000004749,0.05399996221987916,-2.1775698465685052e-11,-2.3152528421164323e-09,2.7158858000531083e-08,8.452397411112643e-11,8.502912769692273e-10,5.637619197339939e-14,10.000000001848566,7.80144187809427e-08,0.04992755344959976,-3.921808232060859e-09,4.793127958771515e-09,-0.018110213285769377,6.193113549598256e-09,-1.278289241171386e-08,23.769728669443875,,,,,,,,,,False,,,,False,
0.952,WAIT_FCU,False,-12.999999999950177,-6.000000000004749,0.05399996221987916,-2.1775700365033903e-11,-2.315252841664411e-09,2.7158858000531083e-08,8.452397433573241e-11,8.502912770090073e-10,5.63742510471024e-14,10.0000000022041,7.825993921841952e-08,0.04992755344959987,-3.921808307404797e-09,4.793127965710409e-09,-0.01811021328577028,6.1931136026803574e-09,-1.5214443995416972e-08,23.769728669849663,,,,,,,,,,False,,,,False,
1.052,WAIT_FCU,False,-12.999999999949946,-6.000000000004749,0.05399996221987916,-2.177570081904371e-11,-2.3152528407676105e-09,2.7158857993425657e-08,8.45239741004906e-11,8.502912772319913e-10,5.6372148370541676e-14,10.000000002634577,7.852713165903204e-08,0.04999999628703655,-1.2859188635871435e-13,1.215130012000468e-12,6.321573646246745e-07,1.2219152259062616e-12,-1.8042026394155422e-08,23.769728670333418,,,,,,,,,,False,,,,False,
1.152,WAIT_FCU,False,-12.999999999949724,-5.999999999995443,0.05399996221987914,-2.177169774418213e-11,2.3152529185377966e-09,2.7158848730002296e-08,-8.4525615029656e-11,8.502914223866495e-10,4.7596208210850184e-14,10.000000002990124,7.877264456893159e-08,0.04999999651757936,1.9973201044408293e-13,-1.886319069964882e-12,6.636452019843677e-08,1.8968638616698914e-12,-2.0473578593632284e-08,23.769728670736864,,,,,,,,,,False,,,,False,
1.252,WAIT_FCU,False,-12.99999999994951,-5.999999999995443,0.05399996221987914,-2.1771696353340267e-11,2.315252915774355e-09,2.715884874421315e-08,-8.452561508436389e-11,8.502914226749877e-10,4.759426726737615e-14,10.000000003345662,7.901816501674002e-08,0.04999999651757958,1.9973201185999641e-13,-1.8863190663120524e-12,6.636452019133134e-08,1.896863858186458e-12,-2.2905130101289908e-08,23.769728671142655,,,,,,,,,,False,,,,False,
1.3519999999999999,WAIT_FCU,False,-12.999999999949289,-6.000000000004749,0.05399996221987916,-2.177570043469751e-11,-2.315252840275835e-09,2.7158858000531083e-08,8.452397398633597e-11,8.502912771191947e-10,5.636616380297566e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671472805,,,,,,,,,,False,,,,False,
1.452,WAIT_FCU,False,-12.999999999949067,-5.999999999995443,0.05399996221987914,-2.177169773961735e-11,2.315252917890535e-09,2.7158848730168827e-08,-8.45256149770777e-11,8.502914226672861e-10,4.759022364672112e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671470236,,,,,,,,,,False,,,,False,CMODE(65536)
1.552,WAIT_FCU,False,-12.999999999948844,-6.000000000004749,0.05399996221987916,-2.1775698294756198e-11,-2.315252842390431e-09,2.7158858000531083e-08,8.452397384934551e-11,8.502912771013614e-10,5.636212018968754e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671472368,,,,,,,,,,False,,,,False,CMODE(65536)
1.6520000000000001,WAIT_FCU,False,-12.999999999948622,-5.999999999995443,0.05399996221987914,-2.1771697086532944e-11,2.315252916059499e-09,2.715884874421315e-08,-8.452561498578142e-11,8.502914226078174e-10,4.758618003943953e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671469807,,,,,,,,,,False,,,,False,CMODE(65536)
