epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9774,0.85316,2.7132,0.94269,0.0939,1,0.09602,0.08642,0.46051,11.4181,0.85174,0.000653333,0.000653333,0.000653333
2,56.7041,0.52362,0.50175,0.83911,0.98966,1,0.995,0.52188,0.8491,1.13745,0.96784,0.00127644,0.00127644,0.00127644
3,82.787,0.5343,0.45567,0.84257,0.99792,1,0.995,0.91468,0.50873,1.15048,0.85532,0.00185555,0.00185555,0.00185555
4,109.072,0.49904,0.40677,0.84235,0.99851,1,0.995,0.91329,0.43291,0.38188,0.8173,0.001802,0.001802,0.001802
5,134.448,0.47646,0.3876,0.8339,0.99889,1,0.995,0.94957,0.30777,0.36942,0.7962,0.001736,0.001736,0.001736
6,162.126,0.43671,0.35935,0.82132,0.64736,0.6625,0.70515,0.65369,0.35702,1.49646,0.82753,0.00167,0.00167,0.00167
7,186.459,0.39295,0.32182,0.81193,0.9993,1,0.995,0.94715,0.23981,0.24525,0.79384,0.001604,0.001604,0.001604
8,208.701,0.39225,0.31915,0.81474,0.99927,1,0.995,0.95378,0.34071,0.22962,0.81562,0.001538,0.001538,0.001538
