t,phase,clearance,horizontal_error_gt,tag_valid,tag_age,tag_weight,yolo_visible,yolo_confidence,coarse_vx,coarse_vy,tag_vx,tag_vy,cmd_vx,cmd_vy,cmd_vz,uav_x,uav_y,uav_z,vehicle_x,vehicle_y,mode,armed
0.952,TAKEOFF,-2.125528795278109,59.98709974732918,0,9.576,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.011331149376928806,0.0055910758674144745,-0.00806620717048645,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.988,TAKEOFF,-2.1255288630118523,59.98692731452356,0,9.612,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.011839069426059723,0.005455188453197479,-0.007962996140122414,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
1.028,TAKEOFF,-2.1255289378633284,59.98645005872127,0,9.652,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.012824238277971745,0.005430198274552822,-0.008060167543590069,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
1.064,TAKEOFF,-2.1255290052177247,59.986443128476346,0,9.688,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0138163473457098,0.0053887683898210526,-0.007971633225679398,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.084,TAKEOFF,-2.1255290428160296,59.98643374772376,0,9.708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.014817844144999981,0.005328471306711435,-0.007868032902479172,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.104,TAKEOFF,-2.125529072900959,59.98743523959263,0,9.728,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.014817844144999981,0.005328471306711435,-0.007868032902479172,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.124,TAKEOFF,-2.125529110439717,59.986186540269486,0,9.748,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.01606656238436699,0.005223751533776522,-0.007810262497514486,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.144,TAKEOFF,-2.1255291478363154,59.98743524813373,0,9.768,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.01606656238436699,0.005223751533776522,-0.007810262497514486,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.164,TAKEOFF,-2.125529185213353,59.986435235733296,0,9.788,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.01706659607589245,0.005101822782307863,-0.007918685674667358,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.196,TAKEOFF,-2.1255292452167485,59.986432187228615,0,9.82,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.018069690093398094,0.004945109132677317,-0.008019119501113892,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
