t,phase,clearance,horizontal_error_gt,tag_valid,tag_age,tag_weight,yolo_visible,yolo_confidence,coarse_vx,coarse_vy,tag_vx,tag_vy,cmd_vx,cmd_vy,cmd_vz,uav_x,uav_y,uav_z,vehicle_x,vehicle_y,mode,armed
0.34,TAKEOFF,-2.153139657309215,60.35792595721254,0,8.504,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.002288932679221034,-0.0072259982116520405,-0.011833079159259796,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.372,TAKEOFF,-2.158561330358318,60.35846849591715,0,8.536,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0023479177616536617,-0.007413009647279978,-0.011775581166148186,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.408,TAKEOFF,-2.164723745502319,60.35905216470629,0,8.572,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0024012259673327208,-0.007630813866853714,-0.011688096448779106,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.444,TAKEOFF,-2.170929885296906,60.35963239451829,0,8.608,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.002449927618727088,-0.007871934212744236,-0.01164650171995163,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.48,TAKEOFF,-2.1771556848784623,60.360207125672204,0,8.644,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0024971801321953535,-0.008136843331158161,-0.011693206615746021,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.52,TAKEOFF,-2.184066935806317,60.36084299687202,0,8.684,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0025427592918276787,-0.008420546539127827,-0.01168870273977518,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.556,TAKEOFF,-2.1902549862201246,60.36139634109722,0,8.72,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.002603652188554406,-0.008814699947834015,-0.011624743230640888,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.592,TAKEOFF,-2.1963877623322525,60.36202159336041,0,8.756,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0026657022535800934,-0.009160112589597702,-0.011690226383507252,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.64,TAKEOFF,-2.204437756090761,60.36270333965713,0,8.804,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0028102723881602287,-0.009958423674106598,-0.011846830137073994,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
0.676,TAKEOFF,-2.2103496239750577,60.3632143699068,0,8.84,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.002928879577666521,-0.010003083385527134,-0.011805019341409206,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
