run_id,target_speed,t,x_gt,y_gt,z_gt,vx_gt,vy_gt,vz_gt,speed_gt,roll_gt,pitch_gt,yaw_gt,angular_speed_gt,tag_visible,tag_x_map_visual,tag_y_map_visual,tag_error_x_vs_gt,tag_error_y_vs_gt,yolo_detected,yolo_confidence,yolo_center_x,yolo_center_y
vehicle_motion_0p5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.052,10.00000000013012,7.682773671170977e-08,0.04992755344959976,-3.92180786701642e-09,4.7931279431590035e-09,-0.018110213285770525,6.193113306349524e-09,7.62544564398444e-05,-7.69921270852323e-11,-1.0303927528721355e-09,0.01906481779533083,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.104,10.000000000382837,7.697216405192417e-08,0.0499999937956096,5.184064949235469e-09,1.3726581000322868e-09,0.004999403227941911,5.36271569799071e-09,2.9626994633454627e-09,-6.650880111841097e-11,-2.6421999011911817e-09,0.005262760060678266,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.156,10.00000000056061,7.709492913047777e-08,0.04999999628703666,-1.2859188455711498e-13,1.2151291342625764e-12,6.321573646248409e-07,1.2219143528527968e-12,-3.761796875883854e-09,2.8062173696264983e-13,-3.8579753156597715e-09,1.6718577181859557e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.208,10.000000000738378,7.7217681808392e-08,0.04999999651757947,1.9973200160691178e-13,-1.886319096752299e-12,6.636452019149788e-08,1.8968638873778772e-12,-4.783937238628213e-09,-3.1347217006594405e-13,-5.073751822166954e-09,2.4358712870835034e-07,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.26,10.000000000900458,7.73596976300859e-08,0.04992755344959976,-3.921808030693245e-09,4.793127955302068e-09,-0.01811021328577044,6.193113419396435e-09,7.625445643984621e-05,-7.69921317783266e-11,-6.298754738087054e-09,0.019064817795330903,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.312,10.000000001153168,7.75041249748547e-08,0.0499999937956096,5.1840650016357235e-09,1.3726581832990137e-09,0.0049994032279413545,5.3627157699585515e-09,2.962699498581047e-09,-6.650879886882414e-11,-7.910561851421401e-09,0.005262760060673892,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.364,10.000000001330935,7.762689005685915e-08,0.04999999628703666,-1.2859189022991962e-13,1.2151302360406826e-12,6.32157364624841e-07,1.2219154491097936e-12,-3.7617968747192535e-09,2.8062235126846967e-13,-9.126337239945713e-09,1.6718577273118971e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.416,10.000000001508708,7.774964273819622e-08,0.04999999651757947,1.997320045737243e-13,-1.8863190870643596e-12,6.636452019843677e-08,1.896863878056187e-12,-4.783937238874371e-09,-3.134730559896671e-13,-1.0342113720518265e-08,2.4358712872879433e-07,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.468,10.000000001670793,7.789165856338337e-08,0.04992755344959976,-3.921808194332126e-09,4.793127962240962e-09,-0.01811021328577032,6.193113528391579e-09,7.625445643984552e-05,-7.699213521857264e-11,-1.1567116610884826e-08,0.01906481779533094,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.52,10.000000001923508,7.803608591287596e-08,0.0499999937956096,5.184065054589711e-09,1.3726582492185058e-09,0.0049994032279417,5.362715838021426e-09,2.9626995390750112e-09,-6.650879680315107e-11,-1.3178923689228135e-08,0.005262760060668649,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.572,10.000000002101274,7.815885099833884e-08,0.04999999628703666,-1.2859187451183362e-13,1.2151302432404626e-12,6.321573646319465e-07,1.2219154546154545e-12,-3.761796875880807e-09,2.8062268943895776e-13,-1.439469905181166e-08,1.671857737357983e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.624,10.000000002279043,7.828160368325466e-08,0.04999999651757947,1.9973200771003128e-13,-1.886319079096956e-12,6.636452019149788e-08,1.8968638704633153e-12,-4.7839372407151796e-09,-3.134727852782249e-13,-1.5610475506426445e-08,2.4358712965956744e-07,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.676,10.000000002441123,7.842361951190032e-08,0.04992755344959987,-3.921808357610587e-09,4.793127962240962e-09,-0.01811021328576932,6.19311363178817e-09,7.625445643984365e-05,-7.699213903620012e-11,-1.683547837124524e-08,0.01906481779533096,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.728,10.000000002693836,7.856804686603538e-08,0.04999999379560949,5.184065107444877e-09,1.3726583324852326e-09,0.004999403227941441,5.362715910429025e-09,2.962699575123747e-09,-6.650879365085805e-11,-1.8447285414600196e-08,0.005262760060664901,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.78,10.000000002871607,7.86908119550202e-08,0.04999999628703655,-1.285918881785117e-13,1.2151291452740048e-12,6.321573646317799e-07,1.2219143641841879e-12,-3.7617968736465326e-09,2.806212387727251e-13,-1.9663060751233946e-08,1.6718577464848786e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.832,10.000000003049381,7.881356464337249e-08,0.04999999651757936,1.9973201078900432e-13,-1.8863190706266265e-12,6.636452019843677e-08,1.8968638623642756e-12,-4.783937239878039e-09,-3.134727114752895e-13,-2.0878837179902835e-08,2.4358712967219877e-07,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.884,10.000000003211463,7.895558047563676e-08,0.04992755344959976,-3.921808521374162e-09,4.7931279726493026e-09,-0.01811021328577015,6.193113743547441e-09,7.625445643984614e-05,-7.699214306823052e-11,-2.2103840019153416e-08,0.01906481779533107,False,,,,,False,,,
vehicle_motion_0p5,0.5,0.936,10.000000003464173,7.910000783436348e-08,0.04999999379560971,5.18406516027051e-09,1.3726584018741717e-09,0.00499940322794163,5.362715979255871e-09,2.9626996143031166e-09,-6.65087907652e-11,-2.371564702751762e-08,0.005262760060660727,False,,,,,False,,,
